Formula,Energy_Above_Hull,Formation_Energy,Volume,Density,Band_Gap,Is_Metal,Magnetic_Ordering,Total_Magnetization
CaFeO3,0.052147251500000005,-2.176371779,56.47327359803378,4.231856237217894,0,1,1,4.0602088
MgSnO3,0.6298747759999971,-1.866468147,65.21888912494153,4.863389810713269,1.308399999999999,0,0,0.00047149999999900006
MgGeO3,0.5249547200000031,-2.040783233,51.40303697478925,4.682288444475782,1.5499,0,0,0.000286199999999
MgRuO3,0.6339806869999961,-1.45594012,58.5623184227951,4.916010490277894,0,1,1,2.01969
MgTiO3,0.45547797899999704,-2.907458667,56.73341366101276,3.517280185772856,1.909799999999999,0,0,0
CaVO3,0.10623166291071501,-2.831268961,56.19975561423256,4.107568071709151,0,1,1,0.9968925
ZrZnO3,0.7579720910000011,-2.246558207,71.11550484229129,4.7781155825131005,0,1,0,0.0675725
CaGeO3,0.170772001333332,-2.579209944,54.1490255087543,4.928537978810958,0.5017,0,0,4.8400000000000004e-05
MgVO3,0.5105881479999951,-2.258337826,53.97676689030422,3.791494950360921,0,1,1,1.00169
TiZnO3,0.5371176764999971,-2.28407524,56.759817119617246,4.71816371378167,0,1,0,0.0034796999999990004
MgSiO3,0.46725523316666906,-2.763782162,43.8830602686278,3.798717709629779,2.9292,0,0,5.4e-06
MgRhO3,0.7168978249999961,-1.22979868,59.32881099084245,4.903871935055412,0,1,1,1.2406907
MgZrO3,0.667561955,-2.835932366,70.61532784659279,3.8453875714012353,1.0257,0,0,0.0008380999999990001
CaMnO3,0.11654962733333601,-2.418963381,54.946370694131424,4.322045985981163,0,1,1,3.153875
IClO3,0.6714004176764691,0.041897825999999,71.05686828778931,4.915834546789944,0,1,1,1.7877781
KMoO3,0.10687497300000401,-2.042556052,64.23163890078015,4.731924392171149,0,1,1,1.0014023
NaMoO3,0.096339849000002,-2.014921025,61.57755902520197,4.501484285601487,0,1,1,1.0003638
MgCuO3,0.49833060700000004,-1.15538876,51.9444260137228,4.342774019810358,0,1,0,0.045282199999999
MgFeO3,0.5071998925000011,-1.615973898,53.40651528572358,3.9844406862350312,0,1,1,3.9961674
KVO3,0.21691129050000002,-2.189759956,57.204585275290995,4.006977597551768,0.21860000000000002,0,0,8.550000000000003e-05
NaCrO3,0.29644677833333505,-1.708139925,52.65299502293593,3.878598957569679,0,1,1,1.0000756
KCrO3,0.39067048677777805,-1.671608068,57.72427493335193,4.00124031772841,0,1,1,1.0000208
MgCoO3,0.5514157765000001,-1.34104603,48.94265017651288,4.45262281611853,0,1,1,2.6400955
YAgO3,0.633616180708332,-1.530661327,86.74504699043106,4.685614886915885,0,1,1,2.0007623
NaVO3,0.141920087,-2.233827591,53.745207954482915,3.767194412583095,0.21679999999999902,0,0,0.0006575
CaCuO3,0.162602422749999,-1.700447861,55.02966228172412,4.575252255317861,0,1,0,0.069038
CaCoO3,0.16033285666666702,-1.881145529,53.30553410603655,4.579540335701955,0,1,1,2.8843039
AlVO3,0.709336499624997,-2.271212851,48.24822233179429,4.333779068004552,0,1,1,1.998696799999999
AlSiO3,1.038270889333327,-2.154149703,45.080689872433354,3.796389442753493,0,1,0,0.0022355
AlNiO3,0.8197046213333331,-1.386456107,48.94206694176443,4.53535133823537,0,1,1,2.9995203
BaLiO3,0.308695114999993,-1.653488578,68.25756506368646,4.6773648604201465,0,1,1,3
BaCaO3,0.344531053999998,-2.279992301,88.98091885869187,4.206416658059623,0,1,1,1.9999337
BeBO3,1.6395714481666661,-1.000599028,34.79914295160879,3.236288161418513,0,1,0,0.0009088
BeCuO3,0.8448208941249991,-0.822260176,41.487602710206495,4.825262704072896,0,1,0,0.0003157
BeSiO3,1.2456975710000031,-1.959788182,42.049366115138874,3.360455805228183,0.269099999999999,0,0,3.2e-06
BeVO3,1.044593365000002,-1.710029862,40.316453089377035,4.446281942922852,0,1,1,1.0038615
CaMgO3,0.310670067999998,-2.228589692,61.40444465533577,3.039085753463809,0,1,1,2.0050385
CaScO3,0.24047543449999803,-3.070074366,68.15474941663646,3.241227074842477,0,1,1,1.0012219
CaZnO3,0.238167657999997,-1.802128079,58.258778748431645,4.374759928378614,0,1,0,0.081311799999999
CaInO3,0.357897249499998,-1.978930112,72.13462947097263,4.670624191978828,0,1,0,0.6713848
CaYO3,0.477989082874999,-2.822118803,82.06034800537797,3.5813351424331543,0,1,1,0.9998708
CaLaO3,0.5936756482499991,-2.667460736,91.41240612908155,4.123203254325017,0,1,1,0.999999899999999
CsLaO3,0.26124790074999904,-2.224715934,108.21457999119708,4.907430595888201,0,1,1,1.9999964000000001
CsPrO3,0.290924312374997,-2.121710247,107.50687043553488,4.970661286236502,0,1,1,2.0000285
CsRbO3,0.6835482849999991,-0.415958548,94.80428201626086,4.665614175855958,0,1,0,7.8e-05
CsNaO3,0.860010729666668,-0.265537237,88.02284214895064,3.846421940332156,0,1,0,8.1e-05
CsBaO3,0.48376279000000005,-1.308042149,127.32547365151035,4.150264786101324,0,1,1,3
CsSrO3,0.45468993300000105,-1.381868887,119.7970554328997,3.722078248707889,0,1,1,3
KAlO3,0.27112893737499905,-2.056392494,57.826543420211806,3.2758492645817032,0,1,1,1.9998285
KAsO3,0.429363846999995,-1.509571564,56.77687739940846,4.738502659343299,0,1,0,0.065477
KLiO3,0.508757509499993,-0.749774829,66.36897884792486,2.3528001362383453,0,1,1,4.0001613
KHoO3,0.266953125583333,-2.306167295,88.02337641990908,4.754423171005628,0,1,1,2.0008854
KYO3,0.27819480691666604,-2.258839532,90.97581873262898,3.212488571796565,0,1,1,1.998478
