formula,Eg
Eu2LuTaO6,0.47
Eu2MgPtO6,0
Eu2MgWO6,0
Eu2NiPtO6,0
Eu2NiRuO6,0
Eu2TaAlO6,0.228
Eu2TmTaO6,0
Eu2YTaO6,0.415
Eu2ZnPtO6,0
Gd2MgPtO6,2.033
Gd2MnNiO6,1.868
Gd2NiPtO6,0
Gd2NiRuO6,0
Gd2ZnPtO6,0.914
Ho2CoPtO6,0.947
Ho2MgTiO6,3.202
Ho2MnNiO6,1.88
Ho2NiRuO6,0
K2MoSeO6,3.494
K2SbPO6,2.516
K2VPO6,3.385
La2CoIrO6,0
La2CoRuO6,0
La2CuIrO6,0
La2CuSnO6,0
La2HfNiO6,2.106
La2MgIrO6,0
La2MgMnO6,1.967
La2MgNbO6,0.212
La2MgRhO6,0
La2MgTiO6,3.145
La2MnCoO6,0.058
La2MnNiO6,1.56
La2MnVO6,1.164
La2NiIrO6,0
La2NiMoO6,0
La2NiRuO6,0
La2NiWO6,0
La2ReNiO6,0.375
La2TcNiO6,0
La2TiCoO6,2.398
La2TiNiO6,3.083
La2TiZnO6,2.926
La2VReO6,0
La2ZnIrO6,0
La2ZnRhO6,0
La2ZrNiO6,1.994
Li2SnTeO6,2.044
Li2VPO6,3.14
Li2ZrTeO6,2.802
Mg2BiAsO6,3.349
Mg2BiPO6,3.623
Mg2VBiO6,3.183
Mn2BiPO6,2.232
Mn2FeWO6,0
Na2GeTeO6,2.652
Na2MoSeO6,3.649
Na2NbAsO6,3.122
Na2SnTeO6,1.236
Na2USiO6,1.977
Na2VPO6,3.315
Nd2CoRuO6,0
Nd2MgPtO6,2.068
Nd2MnCoO6,1.085
Nd2MnNiO6,1.542
Nd2NiPtO6,1.673
Nd2NiRuO6,0
Nd2ZnPtO6,1.7
Pr2CoRuO6,0
Pr2MgPtO6,2.053
Pr2MnNiO6,1.791
Pr2NiPtO6,0.019
Pr2ZnPtO6,1.665
Rb2MoSeO6,3.125
Sm2CoPtO6,1.772
Sm2CoRuO6,0
Sm2MgIrO6,0
Sm2MgPtO6,2.08
Sm2MnNiO6,1.738
Sm2NiPtO6,1.719
Sm2NiRuO6,0
Sm2TiMnO6,1.923
Sm2ZnPtO6,1.704
Sn2MoOsO6,0
Sn2PCO6,2.31
Sr2AlSbO6,1.913
Sr2CaIrO6,0
Sr2CaMoO6,2.257
Sr2CaOsO6,0
Sr2CaSbO6,0
Sr2CaTeO6,3.206
Sr2CaUO6,2.206
Sr2CaWO6,3.493
Sr2CdWO6,3.339
Sr2CeIrO6,0
Sr2CoMoO6,0.623
Sr2CoOsO6,0
Sr2CoReO6,0
Sr2CoSbO6,1.077
Sr2CoTeO6,1.618
Sr2CoWO6,2.394
Sr2CrOsO6,0.543
Sr2CrSbO6,1.823
Sr2CrWO6,1.798
Sr2CuMoO6,0
Sr2CuOsO6,0
Sr2CuTeO6,0.212
Sr2CuWO6,0
Sr2DyReO6,0
Sr2DySbO6,3.656
Sr2DyUO6,0.929
Sr2ErMoO6,1.234
Sr2ErReO6,0
Sr2ErRuO6,0
Sr2ErUO6,0.987
Sr2FeMoO6,0
Sr2FeOsO6,0.268
Sr2FeReO6,0
Sr2FeSbO6,2.484
Sr2FeWO6,1.975
Sr2GaSbO6,1.3
Sr2GdReO6,0
Sr2GdRuO6,0.235
Sr2HfCrO6,0.743
Sr2HfFeO6,0.344
Sr2HoReO6,0
Sr2HoRuO6,0
Sr2HoSbO6,3.637
Sr2HoTaO6,3.82
Sr2HoUO6,0.981
Sr2InOsO6,0.446
Sr2InReO6,0
Sr2InSbO6,1.756
Sr2LaCoO6,0
Sr2LaCrO6,0
Sr2LaNbO6,2.981
Sr2LaSbO6,3.386
Sr2LaTaO6,3.508
Sr2LiReO6,1.683
Sr2LuBiO6,1.917
Sr2LuIrO6,0
Sr2LuNbO6,2.892
Sr2LuRuO6,0.118
Sr2LuTaO6,3.485
Sr2MgIrO6,0
Sr2MgMoO6,2.361
Sr2MgOsO6,0
Sr2MgReO6,0
Sr2MgTeO6,2.343
Sr2MgWO6,3.264
Sr2MnMoO6,1.204
Sr2MnNbO6,1.202
Sr2MnReO6,0
Sr2MnSbO6,0.957
Sr2MnTeO6,1.486
Sr2MnWO6,2.199
Sr2NbCrO6,2.836
Sr2NbGaO6,3.243
Sr2NbInO6,3.37
Sr2NdBiO6,1.704
Sr2NdNbO6,2.885
Sr2NiIrO6,0.098
Sr2NiMoO6,2.088
Sr2NiOsO6,0
Sr2NiRuO6,0
Sr2NiTeO6,1.957
Sr2NiWO6,3.278
Sr2PrNbO6,2.889
Sr2PrTaO6,3.369
Sr2ReNiO6,0
Sr2ScIrO6,0
Sr2ScNbO6,2.94
Sr2ScOsO6,0
Sr2ScReO6,0
Sr2ScTaO6,3.447
Sr2SmNbO6,3.148
Sr2SmSbO6,3.607
Sr2SmTaO6,3.749
Sr2SmUO6,0.652
Sr2TaCoO6,1.277
Sr2TaCrO6,2.754
Sr2TaFeO6,2.109
Sr2TaGaO6,4.042
Sr2TaInO6,4.018
Sr2TaVO6,1.292
Sr2TbIrO6,0
Sr2TbReO6,0
Sr2TbRuO6,0.186
Sr2TiMnO6,1.488
Sr2TiMoO6,0
Sr2TmNbO6,2.858
Sr2TmReO6,0
Sr2TmRuO6,0.136
Sr2TmTaO6,3.875
Sr2UCoO6,1.429
Sr2UCrO6,1
Sr2UFeO6,1.131
Sr2UInO6,1.088
Sr2UMnO6,1.137
Sr2UNiO6,1.606
Sr2UZnO6,1.808
Sr2YbNbO6,0
Sr2YbReO6,0
Sr2YbRuO6,0
Sr2YbUO6,2.154
Sr2YCoO6,0.32
Sr2YCrO6,0
Sr2YIrO6,0
Sr2YNbO6,3.204
Sr2YReO6,0
Sr2YRuO6,0.184
Sr2YSbO6,3.703
Sr2YTaO6,3.834
Sr2ZnMoO6,2.506
Sr2ZnReO6,0
Sr2ZnWO6,3.532
Sr2ZrCoO6,0
Sr2ZrCrO6,1.127
Sr2ZrMnO6,2.019
Sr2ZrTiO6,1.945
Sr2ZrVO6,1.225
Tb2CoPtO6,0
Tb2MgTiO6,3.232
Tb2MnNiO6,1.688
Tm2MgTiO6,3.236
Tm2NiRuO6,0
Y2MgTiO6,3.223
Y2MnNiO6,1.885
Y2NiRuO6,0
Yb2MgTiO6,0
Zn2BiPO6,2.803
In2GaBiS6,1.787
Yb2PrDyS6,1.258
