formula,Eg
CrBO3,2.309
DyBO3,5.359
ErBO3,5.654
EuBO3,0
FeBO3,1.708
GaBO3,3.863
GdBO3,2.243
InBO3,2.655
LaBO3,4.501
LuBO3,5.31
NdBO3,5.061
PrBO3,4.659
ScBO3,4.135
SmBO3,0
TiBO3,0
TmBO3,4.501
VBO3,1.798
YBO3,5.167
YbBO3,0
HfBeO3,1.047
ZrBeO3,0.625
AgBiO3,0
AlBiO3,2.917
BaBiO3,0
CoBiO3,1.806
CrBiO3,1.601
FeBiO3,1.903
GaBiO3,1.903
InBiO3,2.389
KBiO3,0.491
LiBiO3,0.145
MnBiO3,0.365
NaBiO3,1.068
ScBiO3,3.106
SrBiO3,0.341
CsBrO3,4.171
HgBrO3,3.192
KBrO3,3.846
NaBrO3,4.47
RbBrO3,4
TlBrO3,3.51
BaCO3,4.464
CaCO3,5.002
CdCO3,2.629
CoCO3,2.407
CuCO3,0
EuCO3,0.325
FeCO3,0
KCO3,0.876
MgCO3,4.966
MnCO3,3.473
NiCO3,3.391
PbCO3,3.329
RbCO3,3.919
SrCO3,4.426
ZnCO3,3.563
HfCdO3,2.324
TiCdO3,2.127
VCdO3,1.685
BaCeO3,2.221
SrCeO3,2.28
YbCeO3,1.775
AgClO3,2.927
BaClO3,0
HgClO3,3.071
KClO3,5.561
MnClO3,2.058
NClO3,2.943
NaClO3,5.619
RbClO3,5.315
ReClO3,3.58
TlClO3,4.362
BaCoO3,0
DyCoO3,1.37
ErCoO3,1.443
EuCoO3,0
GdCoO3,0.175
HoCoO3,0
LaCoO3,0.279
LuCoO3,0
MnCoO3,1.035
NdCoO3,0
PrCoO3,0.089
SmCoO3,0
SrCoO3,0
TbCoO3,1.402
TiCoO3,0
TmCoO3,0.071
YCoO3,0
YbCoO3,0
BaCrO3,0
CaCrO3,0.6
CeCrO3,0
DyCrO3,2.494
ErCrO3,2.512
GdCrO3,2.416
HoCrO3,2.499
LaCrO3,1.922
LuCrO3,2.534
NdCrO3,2.34
PrCrO3,2.273
PuCrO3,0
ScCrO3,2.484
SmCrO3,2.478
SrCrO3,0.682
TbCrO3,2.488
TmCrO3,2.535
YCrO3,2.486
YbCrO3,0.496
LaCuO3,0
NbCuO3,0.952
SrCuO3,0
VCuO3,0.693
LaErO3,4.379
AlFeO3,2.458
BaFeO3,0
CaFeO3,0
CrFeO3,2.212
DyFeO3,1.56
ErFeO3,1.57
EuFeO3,0
GaFeO3,2.12
GdFeO3,0.259
HoFeO3,1.567
InFeO3,1.255
LaFeO3,2.927
LuFeO3,1.587
NdFeO3,1.475
PrFeO3,1.447
SmFeO3,1.518
SrFeO3,0
TbFeO3,1.551
TiFeO3,2.228
TlFeO3,0.009
TmFeO3,1.576
YFeO3,2.134
YbFeO3,0
CeGaO3,0
DyGaO3,2.869
ErGaO3,3.664
EuGaO3,0
GdGaO3,3.393
HoGaO3,2.876
InGaO3,1.342
LaGaO3,3.382
NdGaO3,3.456
PrGaO3,3.395
YGaO3,2.895
YbGaO3,0
BaGeO3,3.541
CaGeO3,3.475
CdGeO3,1.486
CoGeO3,1.463
CuGeO3,0
FeGeO3,1.96
MgGeO3,2.48
MnGeO3,1.437
SiGeO3,2.819
SrGeO3,3.387
ZnGeO3,2.105
BaHfO3,3.542
CaHfO3,4.486
SrHfO3,4.172
SnHgO3,0
TiHgO3,1.345
VHgO3,2.235
LaHoO3,4.368
AgIO3,2.438
CsIO3,3.062
KIO3,2.813
LaIO3,1.522
LiIO3,3.726
NaIO3,3.7
RbIO3,2.837
TlIO3,2.774
CrInO3,1.408
EuInO3,0
GdInO3,2.521
LaInO3,2.751
MnInO3,1.091
YInO3,2.051
BaIrO3,0
CaIrO3,0
KIrO3,0
NaIrO3,0
SrIrO3,0
CeLuO3,0
LaLuO3,4.434
NdLuO3,4.899
PrLuO3,4.892
BaMnO3,2.084
CaMnO3,0.479
DyMnO3,0
ErMnO3,0
EuMnO3,0
GdMnO3,0.084
HoMnO3,0.435
LaMnO3,0
LuMnO3,0
NdMnO3,0.03
PrMnO3,0.059
ScMnO3,0
SmMnO3,0.274
SrMnO3,0.836
TbMnO3,0.403
